type,test_idx,train_idx,similarity
unrelated,1,83,-0.047402
unrelated,1,84,0.011699
unrelated,1,85,-0.005124
unrelated,1,86,0.039448
unrelated,1,87,0.040016
unrelated,1,88,-0.031659
unrelated,1,89,-0.019694
unrelated,1,90,0.059417
unrelated,1,91,0.005684
unrelated,1,92,0.033333
unrelated,1,93,-0.056919
unrelated,1,94,0.028853
unrelated,1,95,-0.052326
unrelated,1,96,0.046522
unrelated,1,97,-0.014773
unrelated,1,98,0.005207
unrelated,1,99,0.040699
unrelated,1,100,-0.006711
unrelated,1,101,0.051811
unrelated,1,102,0.065805
unrelated,1,103,-0.044742
unrelated,1,104,-0.005503
unrelated,1,105,-0.005895
unrelated,1,106,0.027370
unrelated,1,107,-0.003190
unrelated,1,108,0.015761
unrelated,1,109,-0.069495
unrelated,1,110,-0.024985
unrelated,1,111,0.089330
unrelated,1,112,-0.027398
unrelated,1,113,-0.018649
unrelated,1,114,-0.036193
unrelated,1,115,-0.026726
unrelated,1,116,0.068673
unrelated,1,117,-0.031460
unrelated,1,118,-0.009948
unrelated,1,119,0.008661
unrelated,1,120,-0.027895
unrelated,1,121,-0.010015
unrelated,1,122,0.020957
unrelated,1,123,-0.025869
unrelated,1,124,-0.005768
unrelated,1,125,-0.032474
unrelated,1,126,0.016358
unrelated,1,127,-0.003659
unrelated,1,128,-0.057186
unrelated,1,129,0.019871
unrelated,1,130,-0.026632
unrelated,1,131,0.016065
unrelated,1,132,0.001718
unrelated,1,133,-0.003286
unrelated,1,134,0.006660
unrelated,1,135,0.001929
unrelated,1,136,0.052517
unrelated,1,137,-0.011579
unrelated,1,138,-0.008604
unrelated,1,139,-0.017525
unrelated,1,140,0.024100
unrelated,1,141,0.001667
unrelated,1,142,-0.005453
unrelated,1,143,0.013939
unrelated,1,144,0.017965
unrelated,1,145,-0.028904
unrelated,1,146,-0.032348
unrelated,1,147,0.041879
unrelated,1,148,-0.029036
unrelated,1,149,-0.039835
unrelated,1,150,-0.019435
unrelated,1,151,-0.051289
unrelated,1,152,0.008363
unrelated,1,153,-0.009473
unrelated,1,154,-0.060513
unrelated,1,155,-0.025319
unrelated,1,156,-0.081030
unrelated,1,157,0.013292
unrelated,1,158,-0.003522
unrelated,1,159,-0.040673
unrelated,1,160,0.011847
unrelated,1,161,0.068006
unrelated,1,162,0.012458
unrelated,1,163,0.003583
unrelated,1,164,-0.050425
unrelated,1,165,-0.004485
unrelated,1,166,0.014714
unrelated,1,167,-0.011282
unrelated,1,168,0.036669
unrelated,1,169,0.027730
unrelated,1,170,0.016159
unrelated,1,171,0.026322
unrelated,1,172,-0.023338
unrelated,1,173,-0.028136
unrelated,1,174,0.025866
unrelated,1,175,-0.041645
unrelated,1,176,0.011327
unrelated,1,177,0.021798
unrelated,1,178,-0.037782
unrelated,1,179,0.010136
unrelated,1,180,0.012866
unrelated,1,181,-0.038328
unrelated,1,182,-0.001289
unrelated,1,183,0.032329
unrelated,1,184,0.002615
unrelated,1,185,-0.040852
unrelated,1,186,0.007674
unrelated,1,187,0.015680
unrelated,1,188,-0.008859
unrelated,1,189,0.039941
unrelated,1,190,0.009260
unrelated,1,191,-0.049591
unrelated,1,192,0.012697
unrelated,1,193,0.030231
unrelated,1,194,0.005325
related,1,195,0.107312
unrelated,1,196,-0.019701
unrelated,1,197,-0.063648
unrelated,1,198,-0.015510
unrelated,1,199,0.019033
unrelated,1,200,-0.012473
unrelated,1,201,0.023311
unrelated,1,202,-0.002720
unrelated,1,203,-0.008342
unrelated,1,204,0.005426
related,1,205,-0.034348
unrelated,1,206,-0.040180
unrelated,1,207,-0.016973
unrelated,1,208,-0.017420
unrelated,1,209,0.007429
unrelated,1,210,0.020671
unrelated,1,211,-0.019234
unrelated,1,212,-0.013382
unrelated,1,213,-0.058568
unrelated,1,214,-0.056524
related,1,215,0.003718
related,1,216,0.097026
related,1,217,0.001702
unrelated,1,218,0.047750
unrelated,1,219,0.003356
unrelated,1,220,-0.022628
unrelated,1,221,0.037093
unrelated,1,222,0.033111
unrelated,1,223,0.009086
unrelated,1,224,0.013722
unrelated,1,225,0.038058
unrelated,1,226,0.003489
unrelated,1,227,0.029560
unrelated,1,228,0.009072
unrelated,1,229,0.015083
unrelated,1,230,0.003533
related,1,231,-0.022636
unrelated,1,232,-0.030061
unrelated,1,233,0.035053
unrelated,1,234,-0.049337
unrelated,1,235,0.030188
unrelated,1,236,-0.074318
unrelated,1,237,0.043915
unrelated,1,238,0.006714
unrelated,1,239,-0.033020
unrelated,1,240,-0.065553
related,1,241,-0.000216
related,1,242,-0.001855
related,1,243,-0.035551
unrelated,1,244,-0.032673
unrelated,1,245,0.028782
unrelated,1,246,-0.007454
unrelated,1,247,-0.021420
unrelated,1,248,-0.019364
unrelated,1,249,0.022345
unrelated,2,0,0.019930
unrelated,2,1,-0.009253
unrelated,2,2,0.008296
unrelated,2,3,0.034973
unrelated,2,4,0.050208
unrelated,2,5,-0.046503
unrelated,2,6,0.052042
unrelated,2,7,-0.001649
unrelated,2,8,-0.073254
unrelated,2,9,0.033042
related,2,10,-0.033677
unrelated,2,11,0.045524
unrelated,2,12,-0.022788
unrelated,2,13,0.005324
unrelated,2,14,0.023166
unrelated,2,15,0.043131
unrelated,2,16,-0.010619
unrelated,2,17,0.030023
unrelated,2,18,0.029557
unrelated,2,19,0.008082
unrelated,2,20,0.010398
related,2,72,0.154368
related,2,96,-0.032181
related,2,106,0.009956
related,2,196,0.110601
related,2,200,0.026010
related,2,206,0.132474
related,2,216,0.021209
related,2,224,-0.016419
related,2,225,0.102252
related,2,235,0.091767
related,2,249,0.101862
related,3,7,0.020831
related,3,11,0.005191
related,3,31,0.140665
related,3,167,-0.013992
related,3,180,-0.021943
related,3,196,-0.047105
related,3,197,0.237849
related,3,212,-0.016391
related,3,230,0.009152
related,3,236,0.063134
related,3,248,0.133307
related,4,37,0.051258
related,4,58,0.002139
related,4,72,0.144117
related,4,74,0.114908
related,4,121,-0.018827
related,4,174,-0.012491
related,4,198,0.130141
related,4,206,0.186888
related,4,212,0.051686
related,4,225,0.019215
related,4,226,0.092268
related,4,229,-0.001217
related,4,234,-0.005098
related,4,237,0.134813
related,4,248,0.031185
related,5,220,0.142483
related,6,34,-0.031069
related,6,39,0.122761
related,6,63,0.177803
related,6,130,-0.097244
related,6,201,0.092998
related,6,219,0.094551
related,7,66,0.019216
